task,split,threshold,precision,recall,f1,tp,fp,tn,fn
shortage,validation,0.1,0.6360584004852265,0.9495828212922838,0.76182445580261,29363,16801,99052,1559
shortage,validation,0.15,0.6936724117150778,0.9306319125541685,0.794867899512478,28777,12708,103145,2145
shortage,validation,0.2,0.7340823970037453,0.9127482051613738,0.81372351160444,28224,10224,105629,2698
shortage,validation,0.25,0.7725041829336308,0.8958670202444862,0.8296247491839118,27702,8158,107695,3220
shortage,validation,0.3,0.8055894520670258,0.8753314792057435,0.8390136544690876,27067,6532,109321,3855
shortage,validation,0.4,0.8344457157386219,0.8490718582239183,0.8416952521399031,26255,5209,110644,4667
shortage,validation,0.5,0.8461790751065923,0.8343574154323783,0.8402266657982154,25800,4690,111163,5122
shortage,validation,0.6,0.8618145287005924,0.804540456632818,0.8321932127983408,24878,3989,111864,6044
shortage,validation,0.7,0.8870146527264954,0.7380505788758812,0.8057051067059716,22822,2907,112946,8100
full,validation,0.1,0.11736093436271598,0.9815515610217597,0.20965419687286874,4150,31211,111336,78
full,validation,0.15,0.1494487100178305,0.9713812677388837,0.2590431738623104,4107,23374,119173,121
full,validation,0.2,0.1789045054512019,0.966414380321665,0.3019174640706395,4086,18753,123794,142
full,validation,0.25,0.20475273611674097,0.9557710501419111,0.3372558838257386,4041,15695,126852,187
full,validation,0.3,0.22899543378995435,0.9489120151371807,0.36895346698546994,4012,13508,129039,216
full,validation,0.4,0.2750208507089241,0.9359035004730369,0.425118177911474,3957,10431,132116,271
full,validation,0.5,0.32226271326817957,0.9202932828760644,0.4773647405226353,3891,8183,134364,337
full,validation,0.6,0.3760742862787711,0.9004257332071902,0.5305553619956798,3807,6316,136231,421
full,validation,0.7,0.44249163079866094,0.8753547776726585,0.5878335451080051,3701,4663,137884,527
